size_tests_per_sample,writers,rep,elapsed_s,throughput_tx_s,tx_count,retries,retry_sleep_s,errors,integrity_ok,final_db_bytes,peak_wal_bytes,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_max_ms
10,1,1,0.02009161499995571,17420.20240785878,350,0,0.0,0,True,106496,0,0.03087749996666389,0.06243160001986326,0.11244143998510477,0.2032029999554652
10,1,2,0.01946691099999498,17979.226390878874,350,0,0.0,0,True,106496,0,0.030093500015482277,0.05843054996717003,0.12272707001443446,0.2631940000128452
10,1,3,0.02146043599998393,16309.081511683271,350,0,0.0,0,True,106496,0,0.03082950001953577,0.07098785001744545,0.16555340000422777,0.24099799998111848
10,3,1,0.057238775999962854,18344.207779717046,1050,0,0.0,0,True,258048,2624472,0.02889200004574377,0.06891235000239236,0.18907902994556006,33.70897199999945
10,3,2,0.06448675800004366,16282.412584600532,1050,0,0.0,0,True,262144,1837552,0.03021650002210663,0.08874255006503504,0.31023852998828255,33.64325200004714
10,3,3,0.07665320099999917,13698.058088924576,1050,0,0.0,0,True,262144,2624472,0.030446999971900368,0.08629134998159309,0.3618793600003282,53.74102300004324
10,5,1,0.11368286699996588,15393.70044213017,1750,0,0.0,0,True,401408,4136512,0.0298865000445403,0.08437054996761613,0.28928853996376336,82.6996280000003
10,5,2,0.10476902699997481,16703.40987322924,1750,0,0.0,0,True,405504,0,0.02912299999024981,0.0773311499756346,0.2983411599848294,79.07726899998124
10,5,3,0.10397291100002803,16831.307146911837,1750,0,0.0,0,True,401408,3821568,0.030052499937482935,0.07880455001441077,0.3392209999719851,79.02357700004359
25,1,1,0.03646585299998151,19881.613629067382,725,0,0.0,0,True,204800,0,0.03005500002473127,0.07177920001595339,0.23579863999202633,0.7723410000153308
25,1,2,0.047844183999927736,15153.356989035387,725,0,0.0,0,True,204800,0,0.029379000011431344,0.11647360006463711,0.5319912800314338,1.7011980000916083
25,1,3,0.0340773169999693,21275.149096997666,725,0,0.0,0,True,204800,0,0.029103999963808747,0.055967800017242546,0.12083595994226919,0.7439569999405649
25,3,1,0.11778680899999472,18465.565189053534,2175,0,0.0,0,True,528384,4157112,0.029218999998192885,0.07128530000954912,0.2009218999569383,78.92212100000506
25,3,2,0.12180680899996332,17856.144642953866,2175,0,0.0,0,True,516096,4157112,0.029505000043172913,0.08357349998959743,0.29425462008020914,79.66755299992201
25,3,3,0.12059186300007241,18036.042780089516,2175,0,0.0,0,True,516096,4157112,0.029039999958513363,0.07061630001317075,0.19475871999475106,79.19015200002377
25,5,1,0.1903799039999967,19040.875238596942,3625,0,0.0,0,True,860160,4268352,0.029686999937439396,0.08032860007460829,0.2805007199685854,129.14514800002053
25,5,2,0.22319900299999063,16241.111973068053,3625,0,0.0,0,True,888832,4194192,0.029920000088168308,0.07981739997831028,0.21797079997668273,179.22274099998958
25,5,3,0.1949776420000262,18591.87526741919,3625,0,0.0,0,True,876544,4251872,0.03028300000096351,0.08405979997405644,0.24565763998907544,134.05515700003434
50,1,1,0.05881211800010533,22954.45302611925,1350,0,0.0,0,True,352256,0,0.028794499996820377,0.06474210006786048,0.14455661001647968,0.9387210000113555
50,1,2,0.06559413399997993,20581.108670485886,1350,0,0.0,0,True,352256,0,0.030051500004901754,0.07529124994221084,0.1945199700321609,0.5548180000687353
50,1,3,0.061946157999955176,21793.11911484449,1350,0,0.0,0,True,352256,0,0.030025999990357377,0.08556219997331023,0.1660723499787764,0.3451659999882395
50,3,1,0.24475607400006538,16547.086794662828,4050,0,0.0,0,True,954368,4177712,0.030257000048550253,0.1013683000280706,0.2361955900710164,180.56355999999596
50,3,2,0.19981812000003174,20268.432112159582,4050,0,0.0,0,True,954368,4177712,0.030229999993025558,0.07726089993411725,0.18296797000630247,128.99636700001338
50,3,3,0.19982370200000332,20267.86592113048,4050,0,0.0,0,True,995328,4177712,0.031272000001081324,0.08338094997952793,0.22143399996480173,129.13254900001903
50,5,1,0.40398997599993436,16708.33535731366,6750,0,0.0,0,True,1638400,4276592,0.030354500040630228,0.07436985000595085,0.1959800100269159,333.7586090000286
50,5,2,0.4011551309999959,16826.408235571264,6750,0,0.0,0,True,1597440,4223032,0.02955300004714445,0.06958685004292411,0.17538298000545197,331.7130590000943
50,5,3,0.3026763740000433,22301.04686003353,6750,0,0.0,0,True,1601536,4272472,0.03038800002741482,0.07347364998508965,0.18679129004453912,236.18432699993264
65,1,1,0.08990524000000732,19186.868307118246,1725,0,0.0,0,True,434176,0,0.03010499995070859,0.07904239998879342,0.21600159997888108,7.446637999919403
65,1,2,0.09173155799999222,18804.869748316563,1725,0,0.0,0,True,434176,0,0.02980300007493497,0.09742779998305193,0.2174494800101456,6.421877999969183
65,1,3,0.08015258399996128,21521.45213435456,1725,0,0.0,0,True,434176,0,0.028898999971715966,0.06690000006983607,0.16474471998208162,7.115104000035899
65,3,1,0.28889273600009346,17913.222989443133,5175,0,0.0,0,True,1236992,4202432,0.030268999921645445,0.07304080003223139,0.18405949995440224,179.42837099997178
65,3,2,0.2701796529999001,19153.9220016761,5175,0,0.0,0,True,1236992,4173592,0.030733000016880396,0.0715395999691282,0.18627451999918787,180.36088199994538
65,3,3,0.3017411579999134,17150.46112470174,5175,0,0.0,0,True,1249280,4169472,0.029910000080235477,0.08410099999309757,0.26721122002527437,129.1542669999899
65,5,1,0.5391078829999287,15998.653093338537,8625,0,0.0,0,True,2060288,4181832,0.03009099998507736,0.07543960002749368,0.22740304004855733,438.37286900009076
65,5,2,0.525804547000007,16403.43365079322,8625,0,0.0,0,True,2064384,6287152,0.031063999927027908,0.07893839992902937,0.23048468003708067,329.81551699992906
65,5,3,0.5557975190000661,15518.241275198952,8625,0,0.0,0,True,2080768,4190072,0.030140000035316916,0.0740929999437867,0.22892791998401726,433.3810089999588
80,1,1,0.10306981999997333,20374.538346923895,2100,0,0.0,0,True,524288,0,0.0300660000220887,0.07165979998262625,0.17901728000196937,7.892099000059716
80,1,2,0.10182777200009241,20623.05752892339,2100,0,0.0,0,True,524288,0,0.02994199996919633,0.07099449992438166,0.2372355299814894,6.010602000060317
80,1,3,0.10484377199998107,20029.802056343215,2100,0,0.0,0,True,524288,0,0.029734000065673172,0.07284120002282178,0.16212090999488085,8.3593929999779
80,3,1,0.3382489709999845,18625.333822524142,6300,0,0.0,0,True,1486848,4194192,0.03037600004063279,0.07031189997519469,0.21465301996499972,229.34340200004044
80,3,2,0.34359737400006907,18335.413704293136,6300,0,0.0,0,True,1519616,4173592,0.03149450003547827,0.08419069993692542,0.2710309899873699,229.65413600002194
80,3,3,0.3138240150000229,20074.94550727592,6300,0,0.0,0,True,1490944,4161232,0.030322999975851417,0.07648119995451452,0.2068808899514352,104.04065399995943
80,5,1,0.6502182760000323,16148.423364217277,10500,0,0.0,0,True,2486272,5187112,0.030721999962679547,0.08657374997369514,0.2646846299364827,530.5787519999967
80,5,2,0.6343264799999133,16552.990188903095,10500,0,0.0,0,True,2555904,5768032,0.03103649999047775,0.08193975000381211,0.23683805997279753,333.47898099998474
80,5,3,0.5662076309999975,18544.4339233924,10500,0,0.0,0,True,2510848,5858672,0.030702000003657304,0.07837629994469333,0.23493216001725206,332.77724199990644
