tests_per_sample,writers,elapsed_s,throughput_tx_s,p50_ms,p95_ms,p99_ms,max_ms,retries,errors,peak_wal_mb,final_db_kb
10,1,0.020339653999978207,17236.170103473643,0.030600166667227313,0.06395000000149291,0.13357397000125568,0.2631940000128452,0,0,0.0,104.0
10,3,0.0661262450000019,16108.226151080717,0.02985183334658359,0.08131541668300683,0.28706563997805695,53.74102300004324,0,0,2.2527364095052085,254.66666666666666
10,5,0.10747493499998957,16309.472487423749,0.029687333324091014,0.08016874998588717,0.3089502333068593,82.6996280000003,0,0,2.5298055013020835,393.3333333333333
25,1,0.03946245133329285,18770.039905033478,0.029512666666657122,0.08140686669927769,0.2962086266552431,1.7011980000916083,0,0,0.0,200.0
25,3,0.12006182700001015,18119.250870698972,0.029254666666626388,0.07515836667077243,0.22997841334396618,79.66755299992201,0,0,3.9645309448242188,508.0
25,5,0.20285218300000452,17957.954159694727,0.029963333342190406,0.081401933342325,0.24804305331144785,179.22274099998958,0,0,4.0418039957682295,854.6666666666666
50,1,0.062117470000013476,21776.226937149873,0.029623999997359835,0.07519851666112719,0.16838297667580568,0.9387210000113555,0,0,0.0,344.0
50,3,0.21479929866670014,19027.794942650962,0.03058633334755238,0.08733671664723859,0.2135325200140402,180.56355999999596,0,0,3.9841766357421875,945.3333333333334
50,5,0.3692738269999912,18611.930150972818,0.030098500038396498,0.07247678334465486,0.18605142669230235,333.7586090000286,0,0,4.060139973958333,1574.6666666666667
65,1,0.08726312733332027,19837.730063263123,0.029602333332453174,0.0811234000138938,0.19939859999036944,7.446637999919403,0,0,0.0,424.0
65,3,0.286937848999969,18072.535371940325,0.030304000006253773,0.07622713333148572,0.21251507999295483,180.36088199994538,0,0,3.9881057739257812,1212.0
65,5,0.5402366496666673,15973.442673110236,0.030431666649140727,0.07615699996676992,0.2289385466898851,438.37286900009076,0,0,4.6599884033203125,2020.0
80,1,0.10324712133334894,20342.465977396834,0.02991400001898607,0.07183183330994324,0.1927912399927799,8.3593929999779,0,0,0.0,512.0
80,3,0.3318901200000255,19011.897678031066,0.030731166683987492,0.07699459995554488,0.23085496663460162,229.65413600002194,0,0,3.9828669230143228,1464.0
80,5,0.6169174623333143,17081.949158837593,0.030820166652271535,0.08229659997406687,0.24548494997551074,530.5787519999967,0,0,5.344968159993489,2458.6666666666665
